Product Type,Trade Name,Scientific Name,Quantity (kg),Country of Production,Location,Production Date,Supplier Name,Supplier Address,Supplier Email,Trader Name,Trader Address,Trader Email,Nominal Confidence Alerts,High Confidence Alerts,Highest Confidence Alerts,Total Alerts,Overall Confidence %,Deforestation Driver,Land_Cover_Class
palm oil,Palm Oil,,380,Ghana,"[[-2.323139, 5.790143], [-2.323669, 5.513429], [-2.048529, 5.620146], [-2.323139, 5.790143]]",01/12/19,Larry Hill,667 Magnolia Ave,larry.hill@example.com,Kwame Akumape,469 Pine St,kwame.akumape@example.com,5649,5405,0,11054,49.63210904,Shifting agriculture,Agriculture
cattle,Beef,,534,Ghana,"[[-0.165271, 6.924376], [-0.165271, 6.753368], [0.058012, 6.753368], [0.058012, 6.924376], [-0.165271, 6.924376]]",05/05/16,Monica Clark,778 Dogwood Dr,monica.clark@example.com,Kwame Akumape,470 Pine St,kwame.akumape@example.com,52,75,0,127,53.0183727,Shifting agriculture,"Forest, Agriculture"
cattle,Beef,,335,Ghana,"[[0.184663, 9.168978], [0.184663, 9.012554], [0.381874, 9.012554], [0.381874, 9.168978], [0.184663, 9.168978]]",17/04/20,Nancy Adams,889 Hawthorn St,nancy.adams@example.com,Kwame Akumape,471 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
cocoa,Cocoa Beans,,336,Ghana,"[[-0.583783, 7.848165], [-0.610281, 7.640883], [-0.387442, 7.730843], [-0.583783, 7.848165]]",23/08/16,Oliver King,990 Pinecone Blvd,oliver.king@example.com,Kwame Akumape,472 Pine St,kwame.akumape@example.com,6,0,0,6,33.33333333,Shifting agriculture,Forest
rubber,Natural Rubber,,572,Ghana,"[[-1.683762, 10.631069], [-1.723295, 10.499826], [-1.538244, 10.539162], [-1.683762, 10.631069]]",06/05/11,Paula Allen,101 Maplewood Dr,paula.allen@example.com,Kwame Akumape,473 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
palm oil,Palm Oil,,523,Ghana,"[[-1.551465, 9.378131], [-1.551465, 9.300225], [-1.393942, 9.300225], [-1.393942, 9.378131], [-1.551465, 9.378131]]",19/06/20,Quentin Ross,202 Alder Pl,quentin.ross@example.com,Kwame Akumape,474 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
soya,Soybeans,,366,Ghana,"[[-1.679901, 8.934276], [-1.669282, 8.818869], [-1.531238, 8.913296], [-1.679901, 8.934276]]",16/04/23,Rachel Hall,303 Juniper Ct,rachel.hall@example.com,Kwame Akumape,475 Pine St,kwame.akumape@example.com,0,9,0,9,66.66666667,Shifting agriculture,Forest
rubber,Natural Rubber,,617,Ghana,"[[-0.246366, 7.473412], [-0.246366, 7.378645], [-0.044609, 7.378645], [-0.044609, 7.473412], [-0.246366, 7.473412]]",20/10/13,Steve Baker,404 Sycamore Ln,steve.baker@example.com,Kwame Akumape,476 Pine St,kwame.akumape@example.com,16,0,0,16,33.33333333,0,Forest
cocoa,Cocoa Beans,,613,Ghana,"[[-2.263934, 9.898029], [-2.263934, 9.824796], [-2.104652, 9.824796], [-2.104652, 9.898029], [-2.263934, 9.898029]]",20/08/18,Uma Collins,606 Redwood Pl,uma.collins@example.com,Kwame Akumape,478 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
palm oil,Palm Oil,,986,Ghana,"[[-0.724211, 10.493738], [-0.724211, 10.368419], [-0.628642, 10.368419], [-0.628642, 10.493738], [-0.724211, 10.493738]]",16/03/23,Victor Evans,707 Holly Cir,victor.evans@example.com,Kwame Akumape,479 Pine St,kwame.akumape@example.com,0,0,0,0,0,,
rubber,Natural Rubber,,217,Ghana,"[[-2.858586, 6.767445], [-2.975392, 6.630344], [-2.699304, 6.661986], [-2.858586, 6.767445]]",07/06/15,Wendy Turner,808 Birch Ave,wendy.turner@example.com,Kwame Akumape,480 Pine St,kwame.akumape@example.com,1797,16346,2832,20975,68.31148192,Shifting agriculture,"Forest, Agriculture, Grassland"
